Historic Time,Region,value
1909,JPN,5454083.1161350105
1909,LAM,852470.5777663081
1909,MEA,43642.00865327129
1909,NEU,246868.82400429557
1909,OAS,187392.59904673506
1909,REF,8096517.490170522
1909,SSA,337936.94241477025
1909,USA,8787484.540193154
1910,CAZ,1254363.6333880872
1910,CHA,1280809.363902786
1910,EUR,14458499.169447303
1910,IND,538547.9202868894
1910,JPN,5975669.056143945
1910,LAM,940342.1296433033
1910,MEA,47978.542349864074
1910,NEU,272057.43162411544
1910,OAS,206508.10243162955
1910,REF,8981738.4973714
1910,SSA,371803.40427649685
1910,USA,9667335.852865526
1911,CAZ,1245519.155764746
1911,CHA,1273947.8519970598
1911,EUR,14352107.38263713
1911,IND,539136.3072397654
1911,JPN,5902932.901261003
1911,LAM,935363.531771816
1911,MEA,47560.56206374245
1911,NEU,270355.6472820409
1911,OAS,205211.68057460734
1911,REF,8985431.73789586
1911,SSA,368855.73040568293
1911,USA,9589891.950137703
1912,CAZ,1483091.5490289964
1912,CHA,1519580.5311865236
1912,EUR,17084247.194681644
1912,IND,647304.4676987645
1912,JPN,6991660.195897319
1912,LAM,1115784.6077670632
1912,MEA,56535.45594727657
1912,NEU,322186.9488600893
1912,OAS,244548.22344404683
1912,REF,10780819.396885252
1912,SSA,438815.39008340216
1912,USA,11407800.81038994
1913,CAZ,1540008.5398720817
1913,CHA,1580695.2650806494
1913,EUR,17734161.67307191
1913,IND,677801.3829877994
1913,JPN,7220521.059116243
1913,LAM,1160735.195125225
1913,MEA,58602.38116552381
1913,NEU,334830.74841324147
1913,OAS,254139.18953424454
1913,REF,11280981.36884213
1913,SSA,455235.43003111146
1913,USA,11833634.995971953
1914,CAZ,1204510.2704097526
1914,CHA,1238568.334674135
1914,EUR,13866109.224351618
1914,IND,534657.5876428668
1914,JPN,5615967.084269911
1914,LAM,909565.1974067371
1914,MEA,45753.47199259097
1914,NEU,262109.29934156747
1914,OAS,198938.24006704043
1914,REF,8892418.380170051
1914,SSA,355724.22503983096
1914,USA,9246059.799382837
1915,CAZ,1313835.9288401078
1915,CHA,1353476.3629296438
1915,EUR,15119542.293710295
1915,IND,588221.042143528
1915,JPN,6090552.486149859
1915,LAM,994017.2442848671
1915,MEA,49814.71908296336
1915,NEU,286147.8625841754
1915,OAS,217177.92203144013
1915,REF,9776488.095045641
1915,SSA,387636.57019802305
1915,USA,10074609.3120529
1916,CAZ,1525862.5933261167
1916,CHA,1574857.097779966
1916,EUR,17553473.011888158
1916,IND,689125.6718266612
1916,JPN,7031735.129824196
1916,LAM,1156682.8856804685
1916,MEA,57745.20219216873
1916,NEU,332621.4298784789
1916,OAS,252443.67984392506
1916,REF,11445567.926785175
1916,SSA,449748.83848800603
1916,USA,11687800.146298133
1917,CAZ,1582382.9096201446
1917,CHA,1636326.9923008399
1917,EUR,18197257.478871323
1917,IND,720989.0761576853
1917,JPN,7247982.961184544
1917,LAM,1201914.8893082468
1917,MEA,59769.03216057795
1917,NEU,345255.0539676373
1917,OAS,262025.28772241806
