Historic Time,Region,value
1913,OAS,94392.64459925919
1913,REF,3200091.2067533853
1913,SSA,188414.98647372937
1913,USA,4974476.632408647
1914,CAZ,511350.4951570793
1914,CHA,478800.2905342086
1914,EUR,5878035.956018027
1914,IND,141887.72044373734
1914,JPN,2915998.007379697
1914,LAM,336565.1670808277
1914,MEA,20739.87724427239
1914,NEU,101220.1877976539
1914,OAS,75809.74786372209
1914,REF,2545096.9364078483
1914,SSA,152198.4713692454
1914,USA,4022746.779996081
1915,CAZ,576316.6256347108
1915,CHA,537560.0332939342
1915,EUR,6620585.749630122
1915,IND,156654.27121764605
1915,JPN,3305141.0416502985
1915,LAM,376667.59960684733
1915,MEA,23417.897026406954
1915,NEU,113404.06339680296
1915,OAS,84867.38950578835
1915,REF,2822867.688113959
1915,SSA,171356.804899418
1915,USA,4534142.787652992
1916,CAZ,691267.1413882596
1916,CHA,642372.1103315285
1916,EUR,7935840.583258813
1916,IND,184158.30882030103
1916,JPN,3985679.829323341
1916,LAM,448667.43041530834
1916,MEA,28137.556415029194
1916,NEU,135215.1753050997
1916,OAS,101110.75251227967
1916,REF,3333674.855089508
1916,SSA,205307.2978708914
1916,USA,5438521.688664916
1917,CAZ,740054.8573678714
1917,CHA,685206.1496371317
1917,EUR,8490108.20358926
1917,IND,193317.66489727277
1917,JPN,4288698.7168548275
1917,LAM,477040.53512412636
1917,MEA,30172.81207978128
1917,NEU,143895.46303142456
