,Plant ID,Plant name (English),Country/Area,Capacity operating status,Start date,Nominal crude steel capacity (ttpa),Nominal BOF steel capacity (ttpa),Nominal EAF steel capacity (ttpa),Nominal OHF steel capacity (ttpa),Other/unspecified steel capacity (ttpa),Nominal iron capacity (ttpa),Nominal BF capacity (ttpa),Nominal DRI capacity (ttpa),Other/unspecified iron capacity (ttpa),Announced date,Construction date,Pre-retirement Announcement Date,Retired Date,BOF,EAF,OHF,Other steel,BF,DRI,Other iron,Steel row identifier,BF Unit Name,Unit Status,# of BF Units,Total BF Capacity (ttpa),BF Capacity (ttpa),BF Start Date,BF Retirement Date,BF Retirement Date (1 relining),BF Retirement Date (2 relinings),Custom calculated retirement,BF production fraction,Adjusted BF capacity,Adjusted EAF capacity,Adjusted BOF capacity,Adjusted OHF capacity,Adjusted other steel capacity,Adjusted crude steel capacity,Effective Retirement Date,Effective Start Date,Effective Retirement Date (1 relining),Effective Retirement Date (2 relinings)
87,P100000120088,Yangchun New Steel Co Ltd,China,operating,2007.0,2400.0,2400.0,,,,2200.0,2200.0,,,,,,,True,False,False,False,True,False,False,0,BF 1,operating,2.0,2200.0,1100.0,2012.0,2038.0,,2048.0,True,0.5,1100.0,0.0,1200.0,0.0,0.0,1200.0,2038.0,2007.0,,2048.0
88,P100000120088,Yangchun New Steel Co Ltd,China,operating,2007.0,2400.0,2400.0,,,,2200.0,2200.0,,,,,,,True,False,False,False,True,False,False,0,BF 2,operating,2.0,2200.0,1100.0,2009.0,2029.0,2044.0,2054.0,True,0.5,1100.0,0.0,1200.0,0.0,0.0,1200.0,2029.0,2007.0,2044.0,2054.0
89,P100000120092,Liuzhou Iron and Steel Co Ltd Liuzhou Base,China,operating,2000.0,9458.0,9458.0,,,,8930.0,8930.0,,,,,,,True,False,False,False,True,False,False,0,BF 2,operating,5.0,8930.0,2300.0,2012.0,2032.0,2047.0,2057.0,True,0.25755879059350506,2300.0,0.0,2435.991041433371,0.0,0.0,2435.991041433371,2032.0,2000.0,2047.0,2057.0
90,P100000120092,Liuzhou Iron and Steel Co Ltd Liuzhou Base,China,operating,2000.0,9458.0,9458.0,,,,8930.0,8930.0,,,,,,,True,False,False,False,True,False,False,0,BF 3,operating,5.0,8930.0,1985.0,2008.0,2028.0,2043.0,2053.0,True,0.22228443449048152,1985.0,0.0,2102.366181410974,0.0,0.0,2102.366181410974,2028.0,2000.0,2043.0,2053.0
91,P100000120092,Liuzhou Iron and Steel Co Ltd Liuzhou Base,China,operating,2000.0,9458.0,9458.0,,,,8930.0,8930.0,,,,,,,True,False,False,False,True,False,False,0,BF 5,operating,5.0,8930.0,1330.0,,2034.0,,,True,0.14893617021276595,1330.0,0.0,1408.6382978723404,0.0,0.0,1408.6382978723404,2034.0,2000.0,,
92,P100000120092,Liuzhou Iron and Steel Co Ltd Liuzhou Base,China,operating,2000.0,9458.0,9458.0,,,,8930.0,8930.0,,,,,,,True,False,False,False,True,False,False,0,unknown BF (1),operating,5.0,8930.0,1985.0,,,,,True,0.22228443449048152,1985.0,0.0,2102.366181410974,0.0,0.0,2102.366181410974,,2000.0,,
93,P100000120092,Liuzhou Iron and Steel Co Ltd Liuzhou Base,China,operating,2000.0,9458.0,9458.0,,,,8930.0,8930.0,,,,,,,True,False,False,False,True,False,False,0,unknown BF (3),operating,5.0,8930.0,1330.0,,,,,True,0.14893617021276595,1330.0,0.0,1408.6382978723404,0.0,0.0,1408.6382978723404,,2000.0,,
94,P100000120094,Guangxi Shenglong Metallurgical Co Ltd,China,operating,2003.0,9783.0,9783.0,,,,10310.0,10310.0,,,,,,,True,False,False,False,True,False,False,0,BF 5,operating,6.0,10310.0,1385.0,2013.0,2038.0,,2048.0,True,0.13433559650824442,1385.0,0.0,1314.2051406401552,0.0,0.0,1314.2051406401552,2038.0,2003.0,,2048.0
95,P100000120094,Guangxi Shenglong Metallurgical Co Ltd,China,operating,2003.0,9783.0,9783.0,,,,10310.0,10310.0,,,,,,,True,False,False,False,True,False,False,0,BF 6,operating,6.0,10310.0,1385.0,2013.0,2038.0,,2048.0,True,0.13433559650824442,1385.0,0.0,1314.2051406401552,0.0,0.0,1314.2051406401552,2038.0,2003.0,,2048.0
96,P100000120094,Guangxi Shenglong Metallurgical Co Ltd,China,operating,2003.0,9783.0,9783.0,,,,10310.0,10310.0,,,,,,,True,False,False,False,True,False,False,0,BF 7,operating,6.0,10310.0,1500.0,2019.0,2039.0,2054.0,2064.0,True,0.1454898157129001,1500.0,0.0,1423.3268671193016,0.0,0.0,1423.3268671193016,2039.0,2003.0,2054.0,2064.0
97,P100000120094,Guangxi Shenglong Metallurgical Co Ltd,China,operating,2003.0,9783.0,9783.0,,,,10310.0,10310.0,,,,,,,True,False,False,False,True,False,False,0,BF 8,operating,6.0,10310.0,1500.0,2019.0,2039.0,2054.0,2064.0,True,0.1454898157129001,1500.0,0.0,1423.3268671193016,0.0,0.0,1423.3268671193016,2039.0,2003.0,2054.0,2064.0
98,P100000120094,Guangxi Shenglong Metallurgical Co Ltd,China,operating,2003.0,9783.0,9783.0,,,,10310.0,10310.0,,,,,,,True,False,False,False,True,False,False,0,BF New 3,operating,6.0,10310.0,2270.0,2022.0,2042.0,2057.0,2067.0,True,0.22017458777885549,2270.0,0.0,2153.967992240543,0.0,0.0,2153.967992240543,2042.0,2003.0,2057.0,2067.0
