index,Remaining BOF capacity,Remaining BOF capacity (2 relinings),Total BOF capacity additions,Total retired BOF capacity,Total BOF capacity additions (no retirement date),Total retired BOF capacity (no retirement date),Total retired BOF capacity (custom calculated retirement date),"Additional net BOF capacity (operating, 1 relining)","Additional net BOF capacity (operating, 2 relining)",5year BOF capacity additions,"5year BOF capacity additions (new, under construction)",Total BOF capacity additions (new projects),"Total net BOF capacity additions (new projects, announced only)",Total retired BOF capacity (new projects),"Total retired BOF capacity (new projects, 1 relining)","Total retired BOF capacity (new projects, 2 relining)","Total net BOF capacity additions (new projects, 2 relining)","Total net BOF capacity additions (new projects, 2 relining, announced only)","Total net BOF capacity additions (new projects, 1 relining)","Total net BOF capacity additions (new projects, 1 relining, announced only)",Yearly BOF Capacity additions,Region
2015,1615078.9076911737,1618369.6592063252,1209144.057056666,16000.092308826199,421934.94294333446,0.0,16000.092308826199,2444.9333333333325,3290.7515151515145,12605.548148719532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300.0,global
2016,1628014.0808402044,1631304.8323553558,1226094.057056666,20014.91915979548,421934.94294333446,0.0,20014.91915979548,2444.9333333333325,3290.7515151515145,15303.96367112811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16950.0,global
2017,1636596.970186879,1639887.7217020304,1239395.057056666,24733.029813120967,421934.94294333446,0.0,21733.029813120967,2444.9333333333325,3290.7515151515145,15303.96367112811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13301.0,global
2018,1624444.0155002612,1628556.0527296984,1242613.8754123065,41679.9844997387,423510.12458769395,0.0,32279.984499738697,3266.2190476190463,4112.037229437228,15303.96367112811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4794.0,global
2019,1629671.077511098,1633783.1147405352,1260113.8754123065,57352.92248890185,426910.12458769395,0.0,43532.92248890185,3266.2190476190463,4112.037229437228,15303.96367112811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20900.0,global
2020,1603940.6424998592,1609891.2200192893,1285663.8754123065,109633.35750014056,427910.12458769395,0.0,55272.35750014055,3457.50476190476,5950.577519430097,15303.96367112811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26550.0,global
2021,1584586.6424998592,1590537.2200192893,1304787.8754123065,148111.35750014056,427910.12458769395,0.0,55272.35750014055,3457.50476190476,5950.577519430097,35789.13333333334,10694.761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19124.0,global
2022,1554310.2675279425,1560452.557391157,1328159.8754123065,201759.73247205728,427910.12458769395,0.0,69934.73247205727,2804.283772355686,7742.289863214355,35789.13333333334,10694.761904761905,1600.0,1600.0,0.0,0.0,0.0,1600.0,1600.0,1600.0,1600.0,23372.0,global
2023,1521792.6189173975,1520324.5434774747,1346609.8754123065,231331.87485321757,427910.12458769395,21395.506229384693,84386.87485321757,10089.736651036823,14181.924560077312,35789.13333333334,10694.761904761905,17050.0,15650.0,0.0,0.0,0.0,17050.0,15650.0,17050.0,15650.0,18450.0,global
2024,1497971.8925823134,1496649.9666715222,1367452.8754123065,254600.09495891703,427910.12458769395,42791.012458769386,99155.09495891702,16385.886180168414,20478.0740892089,35789.13333333334,10694.761904761905,34183.0,21800.0,0.0,0.0,0.0,34183.0,21800.0,34183.0,21800.0,20843.0,global
