"","model","scenario","region","variable","unit","period","value"
"91","REMIND","default","MEA","Production|Industry|Steel|Primary","Mt/yr",2100,55.0703995
"92","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2020,13.92
"93","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2025,12.8022109
"94","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2030,11.5942534
"95","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2035,10.2214648
"96","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2040,9.1908499
"97","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2045,10.4973632
"98","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2050,10.2161865
"99","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2055,10.2915957
"100","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2060,9.2931747
"101","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2070,8.6963927
"102","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2080,8.8082487
"103","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2090,8.1629951
"104","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2100,7.1263768
"105","REMIND","default","OAS","Production|Industry|Steel|Primary","Mt/yr",2020,75.03
"106","REMIND","default","OAS","Production|Industry|Steel|Primary","Mt/yr",2025,97.6133417
"107","REMIND","default","OAS","Production|Industry|Steel|Primary","Mt/yr",2030,141.9892302
"108","REMIND","default","OAS","Production|Industry|Steel|Primary","Mt/yr",2035,135.8278375
"109","REMIND","default","OAS","Production|Industry|Steel|Primary","Mt/yr",2040,127.8147859
"110","REMIND","default","OAS","Production|Industry|Steel|Primary","Mt/yr",2045,116.6064518
"111","REMIND","default","OAS","Production|Industry|Steel|Primary","Mt/yr",2050,101.2425877
"112","REMIND","default","OAS","Production|Industry|Steel|Primary","Mt/yr",2055,105.7881557
"113","REMIND","default","OAS","Production|Industry|Steel|Primary","Mt/yr",2060,105.6514559
"114","REMIND","default","OAS","Production|Industry|Steel|Primary","Mt/yr",2070,91.7170361
"115","REMIND","default","OAS","Production|Industry|Steel|Primary","Mt/yr",2080,84.4084181
"116","REMIND","default","OAS","Production|Industry|Steel|Primary","Mt/yr",2090,71.5626537
"117","REMIND","default","OAS","Production|Industry|Steel|Primary","Mt/yr",2100,65.2278619
"118","REMIND","default","REF","Production|Industry|Steel|Primary","Mt/yr",2020,65.41
"119","REMIND","default","REF","Production|Industry|Steel|Primary","Mt/yr",2025,51.6474774
"120","REMIND","default","REF","Production|Industry|Steel|Primary","Mt/yr",2030,38.3378784
"121","REMIND","default","REF","Production|Industry|Steel|Primary","Mt/yr",2035,36.6598973
"122","REMIND","default","REF","Production|Industry|Steel|Primary","Mt/yr",2040,38.3749246
"123","REMIND","default","REF","Production|Industry|Steel|Primary","Mt/yr",2045,39.0737996
"124","REMIND","default","REF","Production|Industry|Steel|Primary","Mt/yr",2050,39.2542561
"125","REMIND","default","REF","Production|Industry|Steel|Primary","Mt/yr",2055,39.2289853
"126","REMIND","default","REF","Production|Industry|Steel|Primary","Mt/yr",2060,39.6544179
"127","REMIND","default","REF","Production|Industry|Steel|Primary","Mt/yr",2070,41.0924845
"128","REMIND","default","REF","Production|Industry|Steel|Primary","Mt/yr",2080,40.1622303
"129","REMIND","default","REF","Production|Industry|Steel|Primary","Mt/yr",2090,37.2292693
"130","REMIND","default","REF","Production|Industry|Steel|Primary","Mt/yr",2100,31.2772973
"131","REMIND","default","SSA","Production|Industry|Steel|Primary","Mt/yr",2020,2.268
"132","REMIND","default","SSA","Production|Industry|Steel|Primary","Mt/yr",2025,3.7528397
"133","REMIND","default","SSA","Production|Industry|Steel|Primary","Mt/yr",2030,11.3872854
"134","REMIND","default","SSA","Production|Industry|Steel|Primary","Mt/yr",2035,24.6377575
"135","REMIND","default","SSA","Production|Industry|Steel|Primary","Mt/yr",2040,41.7966886
"136","REMIND","default","SSA","Production|Industry|Steel|Primary","Mt/yr",2045,63.6689279
"137","REMIND","default","SSA","Production|Industry|Steel|Primary","Mt/yr",2050,86.0538259
"138","REMIND","default","SSA","Production|Industry|Steel|Primary","Mt/yr",2055,121.9432773
"139","REMIND","default","SSA","Production|Industry|Steel|Primary","Mt/yr",2060,157.570579
"140","REMIND","default","SSA","Production|Industry|Steel|Primary","Mt/yr",2070,247.7812216
"141","REMIND","default","SSA","Production|Industry|Steel|Primary","Mt/yr",2080,315.2700835
"142","REMIND","default","SSA","Production|Industry|Steel|Primary","Mt/yr",2090,292.092948
"143","REMIND","default","SSA","Production|Industry|Steel|Primary","Mt/yr",2100,240.7347275
"144","REMIND","default","USA","Production|Industry|Steel|Primary","Mt/yr",2020,27.12
"145","REMIND","default","USA","Production|Industry|Steel|Primary","Mt/yr",2025,37.1107964
"146","REMIND","default","USA","Production|Industry|Steel|Primary","Mt/yr",2030,40.1278871
"147","REMIND","default","USA","Production|Industry|Steel|Primary","Mt/yr",2035,40.9374569
"148","REMIND","default","USA","Production|Industry|Steel|Primary","Mt/yr",2040,40.2085473
"149","REMIND","default","USA","Production|Industry|Steel|Primary","Mt/yr",2045,37.6779424
"150","REMIND","default","USA","Production|Industry|Steel|Primary","Mt/yr",2050,37.9226143
"151","REMIND","default","USA","Production|Industry|Steel|Primary","Mt/yr",2055,38.9926682
"152","REMIND","default","USA","Production|Industry|Steel|Primary","Mt/yr",2060,45.7305925
"153","REMIND","default","USA","Production|Industry|Steel|Primary","Mt/yr",2070,42.8961429
"154","REMIND","default","USA","Production|Industry|Steel|Primary","Mt/yr",2080,52.9159707
"155","REMIND","default","USA","Production|Industry|Steel|Primary","Mt/yr",2090,53.4703953
"156","REMIND","default","USA","Production|Industry|Steel|Primary","Mt/yr",2100,55.5109269
"157","REMIND","default","World","Production|Industry|Steel|Primary","Mt/yr",2020,1480.678
"158","REMIND","default","World","Production|Industry|Steel|Primary","Mt/yr",2025,1525.784431
"159","REMIND","default","World","Production|Industry|Steel|Primary","Mt/yr",2030,1596.9732997
"160","REMIND","default","World","Production|Industry|Steel|Primary","Mt/yr",2035,1571.1160528
"161","REMIND","default","World","Production|Industry|Steel|Primary","Mt/yr",2040,1522.1057881
"162","REMIND","default","World","Production|Industry|Steel|Primary","Mt/yr",2045,1435.7589157
"163","REMIND","default","World","Production|Industry|Steel|Primary","Mt/yr",2050,1227.8099813
"164","REMIND","default","World","Production|Industry|Steel|Primary","Mt/yr",2055,1210.8643042
"165","REMIND","default","World","Production|Industry|Steel|Primary","Mt/yr",2060,1215.6586793
"166","REMIND","default","World","Production|Industry|Steel|Primary","Mt/yr",2070,1100.2372426
"167","REMIND","default","World","Production|Industry|Steel|Primary","Mt/yr",2080,1111.0141149
"168","REMIND","default","World","Production|Industry|Steel|Primary","Mt/yr",2090,1033.7379156
"169","REMIND","default","World","Production|Industry|Steel|Primary","Mt/yr",2100,912.8530305
