Historic Time,Region,value
1919,LAM,1238212.669683258
1919,MEA,65158.37104072398
1919,NEU,361395.939700438
1919,OAS,274377.82805429865
1919,REF,11207461.478726743
1919,SSA,501414.0271493213
1919,USA,13047047.511312217
1920,CAZ,2079990.4281239123
1920,CHA,2091346.1538461538
1920,EUR,24041725.703929346
1920,IND,827327.7062304212
1920,JPN,10367272.885485556
1920,LAM,1534537.069265576
1920,MEA,80751.8273581622
1920,NEU,447883.8568937052
1920,OAS,340040.89801601117
1920,REF,13889589.012097245
1920,SSA,621410.5464671076
1920,USA,16169417.855899757
1921,CAZ,1296766.44622346
1921,CHA,1303846.153846154
1921,EUR,14988772.438863536
1921,IND,515796.0320222764
1921,JPN,6463458.405847547
1921,LAM,956704.4900800558
1921,MEA,50344.58753915768
1921,NEU,279232.4183668342
1921,OAS,211997.9115906718
1921,REF,8659440.322024766
1921,SSA,387417.33379742433
1921,USA,10080795.683954056
1922,CAZ,1973839.1924817264
1922,CHA,1984615.3846153845
1922,EUR,22814768.668004673
1922,IND,785105.4646710756
1922,JPN,9838184.476157326
1922,LAM,1456222.7636616777
1922,MEA,76630.69961712496
1922,NEU,425026.3359211988
1922,OAS,322687.0866689871
1922,REF,13180741.02113504
1922,SSA,589697.1806474068
1922,USA,15344219.979115907
1923,CAZ,2246389.6623738254
1923,CHA,2258653.846153846
1923,EUR,25965063.76024369
1923,IND,893513.9227288549
1923,JPN,11196654.7163244
1923,LAM,1657300.0348068222
1923,MEA,87211.97354681518
1923,NEU,483714.5654452016
1923,OAS,367244.169857292
1923,REF,15000756.133065024
1923,SSA,671123.3901844762
1923,USA,17462971.284371737
1924,CAZ,2252127.5670031323
1924,CHA,2264423.076923077
1924,EUR,26031385.762185562
1924,IND,895796.206056387
1924,JPN,11225254.0898016
1924,LAM,1661533.2405151408
1924,MEA,87434.73720849286
1924,NEU,484950.1071193911
1924,OAS,368182.21371388796
1924,REF,15039072.2406846
1924,SSA,672837.6261747301
1924,USA,17507576.5750087
1925,CAZ,2593532.89244692
1925,CHA,2607692.307692308
1925,EUR,29977544.877727073
1925,IND,1031592.0640445529
1925,JPN,12926916.811695093
1925,LAM,1913408.9801601116
1925,MEA,100689.17507831535
1925,NEU,558464.8367336683
1925,OAS,423995.8231813436
1925,REF,17318880.644049533
1925,SSA,774834.6675948487
1925,USA,20161591.367908113
1926,CAZ,2679601.4618865293
1926,CHA,2694230.769230769
1926,EUR,30972374.90685518
1926,IND,1065826.3139575357
1926,JPN,13355907.413853114
1926,LAM,1976907.0657848937
1926,MEA,104030.63000348068
1926,NEU,576997.9618465111
1926,OAS,438066.48103028187
1926,REF,17893622.25834321
1926,SSA,800548.2074486598
1926,USA,20830670.727462582
1927,CAZ,2920593.4563174383
1927,CHA,2936538.4615384615
1927,EUR,33757898.98841389
1927,IND,1161682.213713888
1927,JPN,14557081.09989558
1927,LAM,2154701.705534285
1927,MEA,113386.70379394361
1927,NEU,628890.7121624716
1927,OAS,477464.32300730946
1927,REF,19502898.77836551
1927,SSA,872546.1190393318
1927,USA,22704092.934215106
1928,CAZ,3155847.5461190394
1928,CHA,3173076.923076923
1928,EUR,36477101.06803073
1928,IND,1255255.830142708
1928,JPN,15729655.412460843
1928,LAM,2328263.139575357
1928,MEA,122520.01392272886
1928,NEU,679547.9208042424
1928,OAS,515924.12112774106
1928,REF,21073859.190768234
1928,SSA,942829.7946397495
1928,USA,24532909.850330666
1929,CAZ,3465694.396101636
1929,CHA,3484615.3846153845
1929,EUR,40058489.17289193
1929,IND,1378499.1298294466
1929,JPN,17274021.580229726
1929,LAM,2556856.2478245734
1929,MEA,134549.25165332406
1929,NEU,746267.171210477
1929,OAS,566578.4893839193
1929,REF,23142929.002225477
1929,SSA,1035398.5381134702
1929,USA,26941595.544726767
1930,CAZ,2728373.6512356424
1930,CHA,2743269.230769231
1930,EUR,31536111.923361115
1930,IND,1085225.7222415593
1930,JPN,13599002.088409329
1930,LAM,2012889.314305604
1930,MEA,105924.12112774103
1930,NEU,587500.0660771222
1930,OAS,446039.85381134704
1930,REF,18219309.173109625
1930,SSA,815119.2133658198
1930,USA,21209815.697876785
1931,CAZ,1996790.8109989557
1931,CHA,2007692.3076923077
1931,EUR,23080056.67577217
1931,IND,794234.5979812043
1931,JPN,9952581.970066134
1931,LAM,1473155.5864949531
1931,MEA,77521.75426383571
1931,NEU,429968.502617957
