index,Remaining BOF capacity,Remaining BOF capacity (2 relinings),Total BOF capacity additions,Total retired BOF capacity,Total BOF capacity additions (no retirement date),Total retired BOF capacity (no retirement date),Total retired BOF capacity (custom calculated retirement date),"Additional net BOF capacity (operating, 1 relining)","Additional net BOF capacity (operating, 2 relining)",5year BOF capacity additions,Total BOF capacity additions (new projects),"Total net BOF capacity additions (new projects, announced only)",Total retired BOF capacity (new projects),"Total retired BOF capacity (new projects, 1 relining)","Total retired BOF capacity (new projects, 2 relining)","Total net BOF capacity additions (new projects, 2 relining)","Total net BOF capacity additions (new projects, 2 relining, announced only)","Total net BOF capacity additions (new projects, 1 relining)","Total net BOF capacity additions (new projects, 1 relining, announced only)",Region,Additional cumulative capacity to meet gov target
2010,1459587.2750352016,1463593.0636974357,1247814.3012612076,12191.264852710312,223964.2386267043,0.0,12191.264852710312,3289.898989898991,4005.788662234122,24372.144640722767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2011,1485479.6228612885,1489485.4115235226,1271106.6490872945,12191.264852710312,226564.2386267043,0.0,12191.264852710312,3289.898989898991,4005.788662234122,11306.28218276046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2012,1501309.6228612885,1505315.4115235226,1285197.3633730088,12191.264852710312,228303.52434099,0.0,12191.264852710312,3289.898989898991,4005.788662234122,11306.28218276046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2013,1513079.291107734,1517085.079769968,1296967.0316194543,12191.264852710312,228303.52434099,0.0,12191.264852710312,2444.4444444444453,4005.788662234122,11306.28218276046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2014,1517899.291107734,1521189.190097633,1301787.0316194543,12191.264852710312,228303.52434099,0.0,12191.264852710312,2444.4444444444453,3289.898989898991,11306.28218276046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2015,1519082.9716632895,1522372.8706531886,1304345.7121750098,14441.264852710312,229178.52434099,0.0,12191.264852710312,2444.4444444444453,3289.898989898991,11306.28218276046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2016,1530262.9716632895,1533552.8706531886,1316295.7121750098,15211.264852710312,229178.52434099,0.0,12961.264852710312,2444.4444444444453,3289.898989898991,14715.560139952073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2017,1536362.9716632895,1539652.8706531886,1325395.7121750098,18211.264852710312,229178.52434099,0.0,12961.264852710312,2444.4444444444453,3289.898989898991,14715.560139952073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2018,1531322.4866409823,1535242.3856308814,1328009.045508343,26341.264852710312,229654.70598534946,0.0,13591.264852710312,3074.4444444444453,3919.898989898991,14715.560139952073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2019,1547702.4866409823,1551622.3856308814,1346259.045508343,29561.264852710312,231004.70598534946,0.0,13591.264852710312,3074.4444444444453,3919.898989898991,14715.560139952073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2020,1535226.9540074093,1539146.8529973084,1377923.51287477,73701.26485271032,231004.70598534946,0.0,13591.264852710312,3074.4444444444453,3919.898989898991,14715.560139952073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2021,1515532.6290952417,1519452.5280851407,1410969.6675332368,132671.0917036796,237234.0532656842,0.0,19006.091703679595,3074.4444444444453,3919.898989898991,53050.45505082536,6113.954759660697,1113.9547596606974,0.0,0.0,0.0,6113.954759660697,1113.9547596606974,6113.954759660697,1113.9547596606974,global,0.0
2022,1510436.5615341994,1514356.4605240985,1470150.567768377,202648.0594998622,242934.0532656842,0.0,27998.059499862222,630.0,3919.898989898991,53050.45505082536,19263.954759660697,4463.954759660697,0.0,0.0,0.0,19263.954759660697,4463.954759660697,19263.954759660697,4463.954759660697,global,0.0
2023,1473769.380379534,1480282.2124041,1533527.3233833418,299427.79360620806,252284.0532656842,12614.202663284212,58245.94946999867,4068.3875801215363,6512.832024565982,53050.45505082536,64391.63287124869,29200.9285323574,0.0,0.0,0.0,64391.63287124869,29200.9285323574,64391.63287124869,29200.9285323574,global,0.0
2024,1467844.9085846983,1483379.9872139643,1583303.645271754,342514.3846261717,252284.0532656842,25228.405326568423,76907.70239619186,13090.634184821643,15535.078629266089,53050.45505082536,114167.9547596607,45200.9285323574,0.0,0.0,0.0,114167.9547596607,45200.9285323574,114167.9547596607,45200.9285323574,global,0.0
2025,1444738.35829462,1475416.1578328698,1643175.7881288968,412878.87511010864,252284.0532656842,37842.60798985264,113097.83338255883,26586.100518098134,30677.799538249736,53050.45505082536,174040.09761680354,91715.9285323574,0.0,0.0,0.0,174040.09761680354,91715.9285323574,174040.09761680354,91715.9285323574,global,21170.0659801629
2026,1445018.397326619,1482963.2095208568,1678254.7881288968,435063.63341482537,252284.0532656842,50456.81065313685,125132.59168727558,33853.11317408623,37944.812194237835,22809.38047663929,209119.09761680354,115344.9285323574,0.0,0.0,0.0,209119.09761680354,115344.9285323574,209119.09761680354,115344.9285323574,global,42340.1319603258
2027,1403417.0697152105,1450161.0589836158,1681004.7881288968,466800.75836294953,252284.0532656842,63071.01331642106,154044.71663539973,42652.29024825385,46743.98926840545,22809.38047663929,211869.09761680354,118094.9285323574,0.0,0.0,0.0,211869.09761680354,118094.9285323574,211869.09761680354,118094.9285323574,global,63510.1979404887
2028,1392967.0775406084,1458222.9472294226,1712054.7881288968,495686.54787426745,252284.0532656842,75685.21597970527,180230.50614671764,61164.17066866266,65255.86968881426,22809.38047663929,242919.09761680354,149144.9285323574,0.0,0.0,0.0,242919.09761680354,149144.9285323574,242919.09761680354,149144.9285323574,global,84680.2639206516
2029,1363935.5965743111,1444777.11844578,1719054.7881288968,519103.8261772805,252284.0532656842,88299.41864298949,203647.7844497307,76749.82285131722,80841.52187146882,22809.38047663929,249919.09761680354,156144.9285323574,0.0,0.0,0.0,249919.09761680354,156144.9285323574,249919.09761680354,156144.9285323574,global,105850.32990081451
2030,1321504.5697836734,1428442.634763497,1757222.6905120932,587088.5526878304,252284.0532656842,100913.62130627371,236027.24472188696,104493.62053537922,106938.06497982366,22809.38047663929,288087.0,194312.83091555384,0.0,0.0,0.0,288087.0,194312.83091555384,288087.0,194312.83091555384,global,105850.32990081451
2031,1277356.84771497,1404434.73726013,1757222.6905120932,618622.0720932496,252284.0532656842,113527.82396955793,267560.76412730623,124633.44510071572,127077.88954516014,2300.0,288087.0,194312.83091555384,0.0,0.0,0.0,288087.0,194312.83091555384,288087.0,194312.83091555384,global,105850.32990081451
2032,1224530.151626257,1382226.0030897055,1761722.6905120932,663334.5655186783,252284.0532656842,126142.02663284214,312273.25755273487,154789.3527897086,157695.8514634486,2300.0,292587.0,198812.83091555384,0.0,0.0,0.0,292587.0,198812.83091555384,292587.0,198812.83091555384,global,105850.32990081451
2033,1147338.7729444718,1351105.4500638805,1761722.6905120932,727911.7415371792,252284.0532656842,138756.22929612634,370490.32115155406,193040.38256384962,203766.6771194087,2300.0,292587.0,198812.83091555384,0.0,0.0,0.0,292587.0,198812.83091555384,292587.0,198812.83091555384,global,105850.32990081451
2034,1100696.358410238,1328426.8382225982,1761722.6905120932,761939.9534081287,252284.0532656842,151370.43195941055,404518.53302250354,209282.56372485455,227730.47981236016,2300.0,292587.0,198812.83091555384,0.0,0.0,0.0,292587.0,198812.83091555384,292587.0,198812.83091555384,global,105850.32990081451
2035,1073632.4376737291,1312734.9530175056,1768722.6905120932,783389.6714813533,252284.0532656842,163984.63462269475,422675.85806878685,215977.64612626715,239102.51534377647,2300.0,299587.0,205812.83091555384,0.0,0.0,0.0,299587.0,205812.83091555384,299587.0,205812.83091555384,global,105850.32990081451
2036,1015894.5763741824,1286975.562693163,1781222.6905120932,841013.3301176159,252284.0532656842,176598.83728597895,480299.5167050494,238042.7975680472,271080.9863189807,2500.0,312087.0,218312.83091555384,0.0,0.0,0.0,312087.0,218312.83091555384,312087.0,218312.83091555384,global,105850.32990081451
2037,960458.4442548973,1256868.4071109986,1781222.6905120932,883835.2595736168,252284.0532656842,189213.03994926315,521521.44616105023,250742.7975680472,294809.9628561013,2500.0,312087.0,216712.83091555384,1600.0,0.0,0.0,312087.0,218312.83091555384,312087.0,218312.83091555384,global,105850.32990081451
2038,899456.243124526,1221619.477733941,1781222.6905120932,932223.2580407038,252284.0532656842,201827.24261254736,569544.9827996736,259717.74332125895,320198.7727809513,2500.0,312087.0,216348.36908709013,1964.4618284637136,0.0,0.0,312087.0,218312.83091555384,312087.0,218312.83091555384,global,105850.32990081451
2039,814251.2430764546,1182217.0631721383,1781222.6905120932,1004814.055425491,252284.0532656842,214441.44527583156,628985.7801844607,274757.85638062726,352851.35826722,2500.0,312087.0,204098.36908709013,15114.461828463714,0.0,0.0,312087.0,218312.83091555384,312087.0,218312.83091555384,global,105850.32990081451
2040,717946.7069720301,1142459.5763081682,1781222.6905120932,1088504.3888666313,252284.0532656842,227055.64793911576,709726.1136256009,293669.7845580981,406448.4075076745,2500.0,312087.0,201148.36908709013,18064.461828463714,0.0,0.0,312087.0,218312.83091555384,312087.0,218312.83091555384,global,105850.32990081451
2041,585328.3383200065,1086960.1894415435,1781222.6905120932,1208508.5548553707,252284.0532656842,239669.85060239997,810963.2606013044,329501.46164423646,464800.3702800373,0.0,312087.0,186406.35007405412,36831.480841499724,0.0,0.0,312087.0,218312.83091555384,312087.0,218312.83091555384,global,105850.32990081451
2042,410908.0220825511,1030535.2074614197,1781222.6905120932,1370314.6684295419,252284.0532656842,252284.05326568417,958919.3741754756,382191.8113557994,568945.7045373688,0.0,312087.0,181456.35007405412,50681.480841499724,0.0,0.0,312087.0,218312.83091555384,312087.0,218312.83091555384,global,105850.32990081451
2043,273299.2643580197,984716.7139851272,1781222.6905120932,1507923.4261540733,252284.0532656842,252284.05326568417,1062397.4275611157,391166.8647712121,626605.2644467164,0.0,312087.0,170416.35007405412,84812.18518039101,0.0,0.0,312087.0,218312.83091555384,312087.0,218312.83091555384,global,105850.32990081451
2044,201774.55912895716,952732.0798418459,1781222.6905120932,1579448.131383136,252284.0532656842,252284.05326568417,1082595.8109017662,375581.21258855757,614819.0136440856,0.0,312087.0,153866.35007405412,136138.507068803,0.0,0.0,312087.0,218312.83091555384,312087.0,218312.83091555384,global,105850.32990081451
2045,124658.22507405347,904611.2807843743,1781222.6905120932,1656564.4654380395,252284.0532656842,252284.05326568417,1085195.8109017662,347837.4149044956,589852.4057843749,0.0,312087.0,115641.35007405412,190100.64992594585,0.0,0.0,312087.0,218312.83091555384,312087.0,218312.83091555384,global,105850.32990081451
2046,96404.22507405347,876267.6882207138,1781222.6905120932,1684818.4654380395,252284.0532656842,252284.05326568417,1085195.8109017662,327697.59033915907,561508.8132207143,0.0,312087.0,93112.35007405412,218354.64992594585,0.0,0.0,312087.0,218312.83091555384,312087.0,218312.83091555384,global,105850.32990081451
2047,95254.22507405347,819676.4055382519,1781222.6905120932,1685968.4654380395,252284.0532656842,252284.05326568417,1085195.8109017662,297541.6826501662,504917.5305382526,0.0,312087.0,91962.35007405412,219504.64992594585,0.0,0.0,312087.0,218312.83091555384,312087.0,218312.83091555384,global,105850.32990081451
